source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2022-01-17,short,10,BUY,0.1060480014885196,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2022-02-28,short,10,BUY,0.0441213479141736,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221048,XOM,2022-02-28,short,10,BUY,0.0441213479141736,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221105,XOM,2022-02-28,short,10,HOLD,0.0441213479141736,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2022-02-28,short,10,SELL,0.0441213479141736,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2022-09-26,short,10,BUY,0.1769465925049212,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221049,XOM,2022-09-26,short,10,BUY,0.1769465925049212,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221106,XOM,2022-09-26,short,10,BUY,0.1769465925049212,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2022-09-26,short,10,BUY,0.1769465925049212,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2023-05-15,short,10,BUY,-0.0098029202661322,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221050,XOM,2023-05-15,short,10,BUY,-0.0098029202661322,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221107,XOM,2023-05-15,short,10,BUY,-0.0098029202661322,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2023-05-15,short,10,BUY,-0.0098029202661322,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2023-10-30,short,10,BUY,-0.0098222633574792,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221050,XOM,2023-10-30,short,10,SELL,-0.0098222633574792,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221107,XOM,2023-10-30,short,10,HOLD,-0.0098222633574792,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2023-10-30,short,10,HOLD,-0.0098222633574792,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2024-12-02,short,10,BUY,-0.079592717653935,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221050,XOM,2024-12-02,short,10,HOLD,-0.079592717653935,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221107,XOM,2024-12-02,short,10,HOLD,-0.079592717653935,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2024-12-02,short,10,SELL,-0.079592717653935,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2025-02-24,short,10,BUY,0.0047632191903527,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221051,XOM,2025-02-24,short,10,HOLD,0.0047632191903527,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221108,XOM,2025-02-24,short,10,HOLD,0.0047632191903527,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2025-02-24,short,10,HOLD,0.0047632191903527,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2025-08-11,short,10,BUY,0.0656692295290572,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221051,XOM,2025-08-11,short,10,HOLD,0.0656692295290572,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221108,XOM,2025-08-11,short,10,HOLD,0.0656692295290572,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2025-08-11,short,10,SELL,0.0656692295290572,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2026-01-05,short,10,BUY,0.0406829489625631,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221051,XOM,2026-01-05,short,10,BUY,0.0406829489625631,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221108,XOM,2026-01-05,short,10,HOLD,0.0406829489625631,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2026-01-05,short,10,BUY,0.0406829489625631,1
