source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct,true_label,confidence_band
baseline,buy_hold,baseline_recomputed,baseline,20260305_153547,NVDA,2025-12-08,short,10,BUY,-0.010024255347668893,0,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153548,NVDA,2025-12-08,short,10,SELL,-0.010024255347668893,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153548,NVDA,2025-12-08,short,10,HOLD,-0.010024255347668893,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153548,NVDA,2025-12-08,short,10,HOLD,-0.010024255347668893,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153548,NVDA,2025-12-22,short,10,BUY,0.0295062229675466,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153549,NVDA,2025-12-22,short,10,SELL,0.0295062229675466,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153549,NVDA,2025-12-22,short,10,HOLD,0.0295062229675466,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153549,NVDA,2025-12-22,short,10,BUY,0.0295062229675466,1,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153549,NVDA,2026-01-19,short,10,BUY,0.01274773358962591,1,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153549,NVDA,2026-01-19,short,10,HOLD,0.01274773358962591,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153550,NVDA,2026-01-19,short,10,HOLD,0.01274773358962591,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153550,NVDA,2026-01-19,short,10,HOLD,0.01274773358962591,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153550,NVDA,2026-02-02,short,10,BUY,-0.003448086781659891,0,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153550,NVDA,2026-02-02,short,10,BUY,-0.003448086781659891,0,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153551,NVDA,2026-02-02,short,10,HOLD,-0.003448086781659891,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153551,NVDA,2026-02-02,short,10,HOLD,-0.003448086781659891,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153551,XOM,2025-03-03,short,10,BUY,0.0556794080001242,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153551,XOM,2025-03-03,short,10,BUY,0.0556794080001242,1,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153552,XOM,2025-03-03,short,10,HOLD,0.0556794080001242,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153552,XOM,2025-03-03,short,10,BUY,0.0556794080001242,1,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153552,XOM,2025-03-17,short,10,BUY,0.045446457539610116,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153552,XOM,2025-03-17,short,10,HOLD,0.045446457539610116,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153553,XOM,2025-03-17,short,10,HOLD,0.045446457539610116,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153553,XOM,2025-03-17,short,10,HOLD,0.045446457539610116,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153553,XOM,2025-03-31,short,10,BUY,-0.13066506141967482,0,SELL,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153553,XOM,2025-03-31,short,10,BUY,-0.13066506141967482,0,SELL,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153554,XOM,2025-03-31,short,10,SELL,-0.13066506141967482,1,SELL,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153554,XOM,2025-03-31,short,10,HOLD,-0.13066506141967482,0,SELL,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153554,XOM,2025-04-14,short,10,BUY,0.04807051227202877,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153554,XOM,2025-04-14,short,10,BUY,0.04807051227202877,1,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153555,XOM,2025-04-14,short,10,HOLD,0.04807051227202877,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153555,XOM,2025-04-14,short,10,BUY,0.04807051227202877,1,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153555,XOM,2025-04-28,short,10,BUY,0.004879050940976429,1,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153555,XOM,2025-04-28,short,10,SELL,0.004879050940976429,0,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153556,XOM,2025-04-28,short,10,HOLD,0.004879050940976429,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153556,XOM,2025-04-28,short,10,BUY,0.004879050940976429,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153556,XOM,2025-05-12,short,10,BUY,-0.04293288970313627,0,SELL,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153556,XOM,2025-05-12,short,10,SELL,-0.04293288970313627,1,SELL,N/A
